iter	Passed	Remaining
0	144	144434
1	145	72733
2	146	48764
3	147	36837
4	149	29821
5	151	25015
6	152	21579
7	153	19006
8	154	17000
9	155	15386
10	156	14070
11	157	12982
12	158	12052
13	159	11254
14	160	10569
15	162	9964
16	163	9433
17	164	8961
18	165	8532
19	166	8150
20	167	7807
21	168	7491
22	169	7204
23	171	6957
24	172	6731
25	173	6516
26	174	6305
27	176	6120
28	177	5954
29	179	5789
30	180	5631
31	181	5485
32	182	5350
33	183	5220
34	185	5103
35	186	4987
36	187	4881
37	188	4776
38	190	4683
39	191	4587
40	192	4500
41	193	4413
42	194	4331
43	195	4253
44	196	4176
45	197	4103
46	199	4037
47	200	3972
48	201	3909
49	202	3847
50	203	3786
51	204	3731
52	205	3677
53	206	3625
54	207	3573
55	208	3522
56	210	3475
57	211	3432
58	212	3392
59	213	3349
60	214	3309
61	216	3270
62	217	3234
63	218	3198
64	219	3161
65	220	3126
66	222	3091
67	223	3059
68	224	3026
69	225	2993
70	226	2963
71	227	2933
72	228	2904
73	229	2878
74	231	2850
75	232	2822
76	233	2796
77	234	2768
78	235	2743
79	236	2717
80	237	2692
81	238	2667
82	238	2639
83	239	2616
84	241	2596
85	242	2574
86	243	2553
87	244	2533
88	246	2519
89	247	2501
90	248	2482
91	249	2462
92	250	2444
93	251	2426
94	252	2408
95	253	2391
96	254	2372
97	255	2355
98	257	2339
99	258	2324
100	259	2310
101	260	2296
102	262	2282
103	263	2267
104	264	2252
105	265	2237
106	266	2223
107	267	2208
108	268	2194
109	269	2180
110	270	2167
111	271	2154
112	272	2141
113	273	2128
114	275	2116
115	276	2104
116	277	2091
117	278	2079
118	279	2067
119	280	2055
120	281	2043
121	282	2030
122	283	2018
123	284	2007
124	285	1996
125	286	1986
126	287	1974
127	288	1965
128	289	1954
129	290	1945
130	292	1937
131	293	1927
132	294	1917
133	295	1908
134	296	1899
135	297	1889
136	298	1880
137	299	1871
138	301	1864
139	302	1856
140	303	1847
141	304	1837
142	305	1828
143	306	1820
144	307	1814
145	308	1807
146	310	1800
147	311	1793
148	312	1786
149	314	1779
150	315	1772
151	316	1765
152	317	1759
153	319	1753
154	320	1745
155	321	1738
156	322	1732
157	323	1725
158	324	1717
159	325	1710
160	326	1701
161	327	1694
162	328	1688
163	329	1680
164	330	1674
165	331	1667
166	332	1660
167	334	1654
168	335	1647
169	336	1640
170	337	1636
171	338	1630
172	339	1624
173	340	1618
174	341	1612
175	343	1606
176	344	1599
177	345	1593
178	346	1588
179	347	1582
180	348	1576
181	349	1570
182	350	1564
183	351	1559
184	352	1554
185	354	1549
186	355	1543
187	356	1538
188	357	1533
189	358	1527
190	359	1522
191	360	1517
192	361	1512
193	362	1507
194	363	1502
195	365	1497
196	366	1492
197	367	1489
198	369	1485
199	370	1480
200	371	1476
201	372	1472
202	373	1467
203	374	1462
204	376	1458
205	377	1454
206	378	1450
207	379	1445
208	380	1441
209	382	1437
210	383	1432
211	384	1428
212	385	1424
213	386	1420
214	388	1416
215	389	1411
216	390	1407
217	391	1402
218	392	1398
219	393	1393
220	394	1389
221	395	1385
222	396	1380
223	397	1377
224	398	1373
225	399	1369
226	401	1365
227	407	1379
228	408	1375
229	409	1371
230	410	1367
231	411	1363
232	413	1359
233	414	1356
234	415	1352
235	416	1348
236	417	1344
237	418	1339
238	419	1335
239	420	1331
240	421	1327
241	422	1323
242	423	1319
243	424	1316
244	425	1312
245	427	1308
246	428	1305
247	429	1302
248	430	1299
249	432	1296
250	433	1292
251	434	1288
252	435	1285
253	436	1282
254	437	1279
255	439	1276
256	440	1272
257	441	1269
258	442	1266
259	443	1262
260	445	1260
261	446	1256
262	447	1253
263	448	1250
264	449	1246
265	450	1243
266	451	1240
267	452	1237
268	454	1233
269	455	1230
270	456	1227
271	457	1223
272	458	1220
273	459	1218
274	460	1215
275	461	1211
276	463	1208
277	464	1205
278	465	1202
279	466	1199
280	467	1195
281	468	1192
282	469	1189
283	470	1186
284	471	1183
285	472	1179
286	473	1177
287	475	1174
288	476	1171
289	477	1169
290	478	1166
291	479	1163
292	481	1161
293	483	1159
294	485	1159
295	486	1157
296	488	1156
297	490	1155
298	491	1153
299	493	1151
300	495	1149
301	496	1146
302	497	1143
303	498	1141
304	499	1138
